"Population and dwelling counts, for population centres, 2011 and 2006 censuses"
"Geographic code","Geographic name","Population centre size group","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006","2006 adjusted population flag","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011"
"1347","La Crète (Alta.)","Small",F,1885,1488,T,26.7,660,638,3.2231,584.8407,667,87
"1349","Shawnigan (B.C.)","Small",F,3543,3586,T,-1.2,1372,1270,6.0099,589.5273,421,55
"1350","Blind Bay (B.C.)","Small",F,1738,1684,T,3.2,860,761,2.6537,654.9346,695,80
"1351","Pemberton (B.C.)","Small",F,2369,2192,T,8.1,1111,979,10.8920,217.4991,561,73
"1352","McEwen (N.B.)","Small",F,1515,1609,F,-5.8,758,739,1.0091,1501.3378,760,25
"1353","Brookside (N.S.)","Small",F,1531,1824,T,-16.1,558,533,2.8440,538.3263,754,30
"1354","Hammonds Plains Road (N.S.)","Small",F,1840,3124,T,-41.1,607,597,3.2344,568.8845,675,25
"1356","Caledon East (Ont.)","Small",F,2214,1950,F,13.5,735,729,2.3562,939.6486,598,182
"1357","Schomberg (Ont.)","Small",F,2321,1679,F,38.2,892,864,2.3053,1006.8104,578,177
"1358","Saint Grégoire (Que.)","Small",F,1264,1098,F,15.1,518,509,0.5238,2413.1348,844,218
"1359","Bromont (Que.)","Small",F,1281,1126,F,13.8,786,666,0.8069,1587.5573,835,213
"1360","Calmar (Alta.)","Small",F,1970,1959,F,0.6,798,760,4.6491,423.7379,645,83
"1361","Les Cèdres (Que.)","Small",F,1986,1875,F,5.9,786,766,1.5353,1293.5583,641,153
"1362","Oka-Kanesatake (Que.)","Small",F,1208,1112,T,8.6,570,531,0.6417,1882.4996,857,221
"1363","Saint-Augustin (Que.)","Small",F,6190,5831,T,6.2,2304,2238,2.3328,2653.4636,296,62
"1365","Oakbank (Man.)","Small",F,2944,2427,T,21.3,977,954,3.3613,875.8516,476,20
"1367","Langdon (Alta.)","Small",F,3403,2380,F,43.0,1071,1048,1.9430,1751.4153,435,61
"1368","Chestermere (Alta.)","Small",F,14363,9564,F,50.2,4703,4489,8.9096,1612.0814,139,15
"1369","Irricana (Alta.)","Small",F,1162,1243,F,-6.5,480,444,3.1846,364.8810,873,103
"1370","Ballantrae (Ont.)","Small",F,1382,1278,F,8.1,642,632,2.1473,643.5989,798,237
"1371","Virgil (Ont.)","Small",F,2325,1875,F,24.0,896,866,1.5890,1463.1844,577,176
"1372","Komoka (Ont.)","Small",F,1532,1363,F,12.4,477,475,1.0608,1444.1931,753,225
"1373","Lorette (Man.)","Small",F,2361,1848,T,27.8,801,777,3.1666,745.5946,566,22
"1374","Regina Beach (Sask.)","Small",F,1636,1725,T,-5.2,1364,735,7.5333,217.1691,719,41
"1375","Crofton (B.C.)","Small",F,1092,1108,F,-1.4,471,453,0.4956,2203.3898,905,98
"1376","Roberts Creek (B.C.)","Small",F,1472,1434,T,2.6,763,623,2.9246,503.3167,769,87
"1377","Harrison Hot Springs (B.C.)","Small",F,1468,1573,F,-6.7,908,666,5.5718,263.4696,770,88
"1378","Mill Bay (B.C.)","Small",F,1549,1343,F,15.3,605,559,1.8823,822.9294,750,86
"1379","Stanley 157 (Sask.)","Small",F,1812,1550,F,16.9,454,416,3.2271,561.4948,683,37
"1386","Waskaganish (Que.)","Small",F,1955,1744,T,12.1,442,414,3.1466,621.3055,652,157
"1387","Bowden (Alta.)","Small",F,1241,1210,T,2.6,545,518,2.7290,454.7453,850,101
"1389","Red Lake (Ont.)","Small",F,1274,1368,F,-6.9,574,536,1.3977,911.4975,838,243
"1390","Moosonee (Ont.)","Small",F,1024,1214,F,-15.7,388,333,0.5559,1842.0579,932,265
"1392","Cambridge Bay (Nvt.)","Small",F,1375,1147,F,19.9,463,414,0.5862,2345.6158,805,5
